,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
11,101,B1_DC1_OP,1,Center,DCOR,DCOR,Open,5.97,34,27.1,1021.93,NA,NA,NA,306,NA,yes,No,9.167430964,9.167430964,NA,NA,NA,0.028269812,NA,NA,0
12,102,B1_DC2_OP,1,Corner,DCOR,DCOR,Open,10.88,34,27.1,1021.93,NA,NA,NA,306,NA,yes,No,16.70714387,16.70714387,NA,NA,NA,0.054527504,NA,NA,0
13,1,B1_Z_EX,1,Center,ZPUL,ZPUL,Exclosure,10.49,33.4,28.2,1021.13,8.85,27.3,33,307,1021.12,yes,No,16.10151556,15.37414202,13.58414358,12.97049038,2.517371975,0.045174228,2.403651639,0.15634379,1
14,121,B1_Z_EX,1,Corner,DCOR,ZPUL,Exclosure,8.87,34,26.7,1022.06,7.72,27.3,33,307,1021.12,yes,No,13.62154994,13.62154994,11.84967101,11.84967101,1.771878933,0.021770779,1.771878933,0.130079098,1
15,62,B1_DC2_EN,1,Corner,DCOR,DCOR,Enclosure,10.16,34,27.1,1021.93,3.2,27.3,33,308,1021.12,yes,No,15.60152405,15.60152405,4.91178073,4.91178073,10.68974332,0.039585069,10.68974332,0.685173018,1
16,61,B1_DC1_EN,1,Center,DCOR,DCOR,Enclosure,16.02,34,27.1,1021.93,NA,NA,NA,308,NA,yes,No,24.60004088,24.60004088,NA,NA,NA,0.039269362,NA,NA,0
17,2,B2_Z_EX,2,Center,ZPUL,ZPUL,Exclosure,30.21,33.4,28.3,1021.1,19.6,27.3,33,309,1021.12,yes,No,46.36979412,44.89887216,30.08465697,29.13032488,16.28513715,0.031721555,15.76854728,0.351201412,1
18,122,B2_Z_EX,2,Corner,DCOR,ZPUL,Exclosure,15.78,34,26.7,1022.06,6.48,27.3,33,309,1021.12,yes,No,24.23315199,24.23315199,9.946355978,9.946355978,14.28679601,0.047881207,14.28679601,0.589555829,1
19,43,B2_DC1_EX,2,Center,DCOR,DCOR,Exclosure,15.98,34,27.2,1021.9,6.92,27.3,33,310,1021.12,yes,No,24.53823175,24.53823175,10.62172583,10.62172583,13.91650592,0.044772303,13.91650592,0.567135646,1
20,44,B2_DC2_EX,2,Corner,DCOR,DCOR,Exclosure,12,34,27.1,1021.93,NA,NA,NA,310,NA,yes,No,18.42699691,18.42699691,NA,NA,NA,0.035712202,NA,NA,0
21,103,B2_DC1_OP,2,Center,DCOR,DCOR,Open,12.53,34,27.1,1021.93,NA,NA,NA,311,NA,yes,No,19.24085594,19.24085594,NA,NA,NA,0.01827096,NA,NA,0
22,104,B2_DC2_OP,2,Corner,DCOR,DCOR,Open,4.52,34,27.1,1021.93,NA,NA,NA,311,NA,yes,No,6.940835504,6.940835504,NA,NA,NA,0.041240736,NA,NA,0
23,12,B2_Z_PC,2,Center,ZPUL,ZPUL,Partial,25.13,33.9,28,1021.57,NA,NA,NA,312,NA,yes,No,38.58192336,36.43810082,NA,NA,NA,0.055565466,NA,NA,0
24,142,B2_Z_PC,2,Corner,DCOR,ZPUL,Partial,11.59,34,26.6,1020.8,NA,NA,NA,312,NA,yes,No,17.78687408,17.78687408,NA,NA,NA,0.049671244,NA,NA,0
